,Neighborhood,VAC:PROG,REC:PROG,ADOPT:PROG,BID:PROG,VACandADOPT,VACandREC,VACandBID,ADOPTandBID,REAL:Vacant,AnyProgram,TotalParcels,NotCityOwned,CityOwned,CityOwnedProgramSubset,AdditionalVacants,population,white,blk_afam,amind_akna,asian,nathaw_pac,other_race,twoormore,hisp_lat,male,female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,pop_dens,pop_chng,hh_chng,avehhsize,2019MedianIncome,MedianIncomeChangeFrom2011,2019PercentPublicAssistance
41,CEDONIA,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3,901,888.0,13.0,,4.0,3316.0,176.0,3051.0,4.0,15.0,0.0,21.0,49.0,63.0,1467.0,1849.0,232.0,298.0,136.0,149.0,364.0,483.0,415.0,940.0,299.0,857.0,391.0,136.0,65.0,29.0,401.0,196.0,1428.0,1295.0,742.0,553.0,133.0,77.0,20.0,36.0,11750.4001996,-265.0,-78.0,2.56062006,64857.0,21818.0,0.047
42,CENTRALFORESTPARK,11.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,14.0,14,319,317.0,2.0,1.0,3.0,1273.0,48.0,1205.0,1.0,7.0,0.0,1.0,11.0,18.0,606.0,667.0,82.0,100.0,36.0,64.0,121.0,149.0,124.0,374.0,223.0,261.0,119.0,44.0,28.0,8.0,114.0,43.0,571.0,418.0,222.0,196.0,153.0,78.0,19.0,56.0,8524.26976047,-216.0,-96.0,2.82296991,50376.0,5920.0,0.057
43,CENTRALPARKHEIGHTS,436.0,18.0,350.0,77.0,0.0,14.0,18.0,46.0,484.0,803,2836,2070.0,766.0,472.0,49.0,6026.0,109.0,5774.0,11.0,15.0,0.0,22.0,95.0,85.0,2746.0,3280.0,492.0,570.0,225.0,297.0,731.0,774.0,713.0,1572.0,652.0,1355.0,368.0,97.0,180.0,69.0,807.0,392.0,2829.0,1994.0,846.0,1148.0,835.0,175.0,36.0,624.0,13607.4487934,-1890.0,-488.0,2.95436,43802.0,11862.0,0.066
44,CHARLESNORTH,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,7,342,331.0,11.0,,3.0,1059.0,216.0,666.0,5.0,100.0,1.0,39.0,32.0,60.0,608.0,451.0,26.0,17.0,6.0,10.0,94.0,209.0,152.0,390.0,155.0,104.0,58.0,10.0,16.0,5.0,30.0,13.0,916.0,716.0,51.0,665.0,200.0,117.0,11.0,72.0,7629.78315034,-77.0,-44.0,1.39664995,48634.0,18306.0,0.164
45,CHARLESVILLAGE,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,11,1492,1489.0,3.0,1.0,4.0,8255.0,4802.0,1288.0,19.0,1686.0,8.0,142.0,310.0,450.0,4320.0,3935.0,146.0,58.0,26.0,42.0,3917.0,1792.0,731.0,1086.0,457.0,612.0,454.0,111.0,55.0,12.0,103.0,53.0,4265.0,3725.0,619.0,3106.0,540.0,372.0,30.0,138.0,31345.8915316,904.0,-724.0,2.21610999,48618.0,15672.0,0.029
46,CHERRYHILL,57.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0,60.0,60,1221,1208.0,13.0,3.0,3.0,8367.0,238.0,7919.0,16.0,21.0,1.0,62.0,110.0,140.0,3431.0,4936.0,949.0,1242.0,398.0,375.0,1013.0,1228.0,759.0,1710.0,693.0,2096.0,397.0,149.0,193.0,82.0,1506.0,1015.0,3441.0,3199.0,547.0,2652.0,242.0,127.0,12.0,103.0,7143.91659329,595.0,268.0,2.61549997,32265.0,9237.0,0.1
47,CHESWOLDE,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4,1417,1408.0,9.0,2.0,1.0,7270.0,5654.0,1053.0,12.0,391.0,11.0,43.0,106.0,170.0,3296.0,3974.0,693.0,626.0,248.0,220.0,714.0,1301.0,733.0,1353.0,1382.0,1661.0,1354.0,611.0,70.0,30.0,237.0,125.0,3445.0,3291.0,1311.0,1980.0,154.0,74.0,30.0,50.0,8500.15670917,876.0,173.0,2.20904994,81365.0,12055.0,0.014
48,CHINQUAPINPARK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,563,558.0,5.0,,,1309.0,134.0,1121.0,14.0,7.0,1.0,6.0,26.0,23.0,584.0,725.0,75.0,93.0,50.0,47.0,116.0,140.0,170.0,421.0,197.0,352.0,177.0,48.0,27.0,12.0,148.0,57.0,551.0,525.0,456.0,69.0,26.0,11.0,7.0,8.0,11409.4739451,-125.0,-9.0,2.48380994,72801.0,3271.0,0.039
49,CLIFTONPARK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,30,26.0,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77532.0,35803.0,
50,COLDSPRING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,387,373.0,14.0,,,1029.0,165.0,790.0,5.0,35.0,0.0,4.0,30.0,17.0,413.0,616.0,52.0,57.0,22.0,27.0,51.0,109.0,149.0,300.0,262.0,201.0,124.0,49.0,12.0,6.0,65.0,28.0,630.0,608.0,321.0,287.0,22.0,11.0,3.0,8.0,1583.37721653,149.0,113.0,1.69243001,52251.0,8613.0,0.089
