BlockLot,StreetName,HouseNum,Dir,StreetType,Zip,Neighborhood,Lawyer,Project Name,Receiver Appointed,Auction Date,x,y
0110048,EDMONDSON,1616,,AVE,21223,HARLEM PARK,PAUL OMALLEY,1600 Edmondson,"March 12, 2019",,,
1610023,LUZERNE,845,N,AV,21205,MADISON-EASTEND,EVAN HELFRICH,,"November 24, 2020",,,
3327F080,COTTAGE,3619,,AVE,21215,PARK CIRCLE,BLAIR GRIFFITH,,"January 15, 2019",,,
4614004,OAKLEY,2922,,AVE,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,2900- 3000 Oakley Ave,"June 25, 2019",,,
4123032,HARFORD,2622,,ROAD,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"June 18, 2019",,,
4613010,GARRISON,3033,W,AVE,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,Garrison,"June 11, 2019",,,
4526A008,DENMORE,5412,,AVE,21215,ARLINGTON,BLAIR GRIFFITH,,"February 5, 2019",,,
4613011,GARRISON,3031,W,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,Garrison,"April 23, 2019",,,
3975001,CATOR,800,,AVE,21218,PEN LUCY,KENT GRASSO,,"December 17, 2019",,,
2736005,MAINE,4001,,AVE,21207,CENTRAL FOREST PARK,BLAIR GRIFFITH,,"January 29, 2019",,,
5349001,COLD SPRING,2300,E,LANE,21214,LAURAVILLE,DORIS WEIL,,"June 25, 2019",,,
6042N003,FRANKFORD,4810,,AVE,21206,FRANKFORD,DORIS WEIL,,"May 14, 2019",,,
4178E061,ELMLEY,3208,,AVE,21213,BELAIR-EDISON,DORIS WEIL,,"April 30, 2019",,,
1691098,ROSE,225,N,ST,21224,MCELDERRY PARK,EVAN HELFRICH,North Rose Street,"March 12, 2019",,,
4070A021,GREENMOUNT,2637,,AVE,21218,BETTER WAVERLY,KENT GRASSO,Harwood,"March 5, 2019",,,
5214022,OLD YORK,4727,,ROAD,21212,WILSON PARK,KENT GRASSO,,"January 23, 2019",,,
4062010,GREENMOUNT,2541,,AVE,21218,BETTER WAVERLY,KENT GRASSO,,"June 18, 2019",,,
2847019,CHELSEA,2901,,TERR,21216,GARWYN OAKS,BLAIR GRIFFITH,,"January 29, 2019",,,
1538015,MILTON,1217,N,AV,21213,BEREA,EVAN HELFRICH,,"October 27, 2020",,,
3065014,ALTO,3400,,ROAD,21216,HANLON-LONGWOOD,BLAIR GRIFFITH,,"May 7, 2019",,,
1569004,CHASE,2107,E,ST,21213,MIDDLE EAST,EVAN HELFRICH,Biddle-Chase P7,"July 9, 2019",,,
1569003,CHASE,2105,E,ST,21213,MIDDLE EAST,EVAN HELFRICH,Biddle-Chase P7,"January 22, 2019",,,
3418A034,MCCULLOH,2509,,ST,21217,RESERVOIR HILL,EILEEN MURPHY,Reservoir Hill,"February 26, 2019",,,
5853002,RIDGECROFT,4027,,ROAD,21206,WALTHERSON,DORIS WEIL,,"February 12, 2019",,,
4053036,33RD,726,E,ST,21218,WAVERLY,KENT GRASSO,,"April 23, 2019",,,
3836A026,LORRAINE,400,E,AVE,21218,HARWOOD,KENT GRASSO,Harwood,"June 18, 2019",,,
3639023,27TH,319,W,ST,,REMINGTON,KENT GRASSO,,"January 15, 2019",,,
1138055,BROADWAY,1406,N,,21230,OLIVER,EVAN HELFRICH,Oliver Expansion,"December 17, 2019",,,
1138052,BROADWAY,1412,N,,21213,OLIVER,EVAN HELFRICH,Oliver Expansion,"March 12, 2019",,,
1606064,MADISON,2212,E,ST,21205,MIDDLE EAST,EVAN HELFRICH,,"April 2, 2019",,,
1127041,BROADWAY,1536,N,,21213,OLIVER,EVAN HELFRICH,1500-1600 Broaway,"March 12, 2020",,,
3061B001,PIEDMONT,3200,,AVE,21216,HANLON-LONGWOOD,BLAIR GRIFFITH,,"January 15, 2019",,,
2838014,ELSINORE,2712,,AVE,21216,GARWYN OAKS,BLAIR GRIFFITH,,"May 4, 2021",,,
3238009,WOODBROOK,3502,,AVE,21217,PARKVIEW/WOODBROOK,SHEA BEITLER-AKMAN,,"April 9, 2019",,,
3238008,WOODBROOK,3500,,AVE,21217,PARKVIEW/WOODBROOK,SHEA BEITLER-AKMAN,,"April 9, 2019",,,
3238010,WOODBROOK,3504,,AVE,21217,PARKVIEW/WOODBROOK,SHEA BEITLER-AKMAN,,"April 9, 2019",,,
3237001,WOODBROOK,3501,,AVE,21217,PARKVIEW/WOODBROOK,SHEA BEITLER-AKMAN,,"April 30, 2019",,,
2110008,ASHTON,2543,,ST,21223,MILLHILL,SHEA BEITLER-AKMAN,,"February 5, 2019",,,
2475H027,FRANKLINTOWN,1002,N,ROAD,21216,FRANKLINTOWN ROAD,SHEA BEITLER-AKMAN,,"January 22, 2019",,,
2475H029,FRANKLINTOWN,1006,N,ROAD,21216,FRANKLINTOWN ROAD,SHEA BEITLER-AKMAN,,"April 9, 2019",,,
0116057,EDMONDSON,908,,AVE,21223,HARLEM PARK,SHEA BEITLER-AKMAN,,"January 22, 2019",,,
2145A035,MILLINGTON,301,,AVE,21223,MILLHILL,SHEA BEITLER-AKMAN,,"April 30, 2019",,,
7470J005,HOLLINS FERRY,2631,,ROAD,21230,LAKELAND,SHEA BEITLER-AKMAN,,"April 9, 2019",,,
4013A036,CECIL,2023,,AV,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"December 17, 2019",,,
4022022,HOMEWOOD,2143,,AV,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"January 15, 2019",,,
4022020,HOMEWOOD,2139,,AV,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"January 15, 2019",,,
4013A001,20TH,1000,E,ST,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"October 8, 2019",,,
4003036,OAK HILL,1915,,AV,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"August 6, 2019",,,
4046008,GORSUCH,716,,AVE,21218,BETTER WAVERLY,KENT GRASSO,,"March 12, 2019",,,
3824031,23RD,446,E,ST,21218,BARCLAY,KENT GRASSO,,"January 14, 2020",,,
1590063,ASHLAND,2312,,AV,21205,MILTON-MONTFORD,EVAN HELFRICH,Eager Street Housing Project,"January 22, 2019",,,
3828049,GUILFORD,2416,,AVE,21218,BARCLAY,KENT GRASSO,Barclay Phase 8,"June 23, 2021",,,
4070A069,BOONE,2619,,ST,21218,BETTER WAVERLY,KENT GRASSO,Matthews and 27th,"October 1, 2019",,,
1710041,LAKEWOOD,154,N,AVE,21224,BALTIMORE-LINWOOD,ILYA ALTMAN,,"June 11, 2019",,,
1608022,MONTFORD,843,N,AV,21205,MILTON-MONTFORD,EVAN HELFRICH,,"October 8, 2019",,,
3335059,VIOLET,2610,,AVE,21215,PARK CIRCLE,BLAIR GRIFFITH,2600 Violet Ave,"February 26, 2019",,,
6558019,OLDHAM,636,,ST,21224,GREEKTOWN,ILYA ALTMAN,,"June 4, 2019",,,
0199001,CAREY,1,N,ST,21223,POPPLETON,SHEA BEITLER-AKMAN,,"May 25, 2021",,,
3972002,OLD YORK,3803,,ROAD,21218,WAVERLY,KENT GRASSO,,"June 25, 2019",,,
5053015,YORK,4628,,ROAD,21212,KERNEWOOD,KENT GRASSO,,"June 11, 2019",,,
6287056,MOUNT PLEASANT,3717,,AVE,21224,BALTIMORE HIGHLANDS,ILYA ALTMAN,,"January 22, 2019",,,
