X,Y,OBJECTID,OBJECTID_1,ID_RS_Web,BLOCKLOT,Address,DateFiled,ReceiverAppointed,DateAuction,SoldAtAuction,Neighborhood,Council_District,HousingMarketTypology2017
1423820.26031455,610848.085313812,606,894214,6272,5200 012,4425 WRENWOOD AVE,2019/06/21 00:00:00+00,,,,WILSON PARK                              ,4,F
1423206.9829978,612024.093788564,607,896065,6339,5212B044,4738 OLD YORK ROAD,2019/09/09 00:00:00+00,2020/01/22 00:00:00+00,2021/10/12 00:00:00+00,2021/10/12 00:00:00+00,RICHNOR SPRINGS                          ,4,H
1423145.72065313,612227.35191223,608,896100,6158,5213 036,528 RICHWOOD AVE,2019/04/25 00:00:00+00,,,,RICHNOR SPRINGS                          ,4,H
1423343.93482363,612003.279525727,609,896167,6146,5214A006,4743 OLD YORK ROAD,2019/04/11 00:00:00+00,2019/08/07 00:00:00+00,2019/10/03 00:00:00+00,,RICHNOR SPRINGS                          ,4,H
1426405.32699481,612211.039280817,610,898109,2846,5267C024,4603 MARBLE HALL ROAD,2013/10/08 00:00:00+00,2014/03/04 00:00:00+00,,,NEW NORTHWOOD                            ,4,E
1431840.07760823,616026.477844149,611,900026,2720,5288 138,5740 MAPLEHILL ROAD,2006/11/06 00:00:00+00,,,,LOCH RAVEN                               ,4,D
1434466.77084564,612103.783261731,612,901397,5400,5366 006,4906 HARFORD ROAD,2018/03/16 00:00:00+00,2018/10/24 00:00:00+00,2019/08/13 00:00:00+00,,LAURAVILLE                               ,3,D
1434714.65388006,613354.790274143,613,902016,6504,5384B016,2725 E STRATHMORE AVE,2019/10/29 00:00:00+00,,,,LAURAVILLE                               ,3,D
1435317.30949889,614520.634727225,614,903262,5292,5394 001,2709 GIBBONS AVE,2018/01/18 00:00:00+00,,,,HAMILTON HILLS                           ,3,D
1436000.56469405,614667.248279139,615,903823,4285,5412A001,2820 HAMILTON AVE,2016/04/21 00:00:00+00,,,,HAMILTON HILLS                           ,3,D
1436483.65263864,615305.109864309,616,903992,4827,5415 023,2908 BAYONNE AVE,2017/09/28 00:00:00+00,2017/11/29 00:00:00+00,,,HAMILTON HILLS                           ,3,D
1436647.21235089,615101.4255604,617,903997,4515,5415 028,2920 BAYONNE AVE,2016/08/16 00:00:00+00,2016/12/14 00:00:00+00,,,HAMILTON HILLS                           ,3,D
1436716.50355089,614948.131575644,618,903999,6888,5415 030,5700 HARFORD ROAD,2021/04/30 00:00:00+00,,,,HAMILTON HILLS                           ,3,D
1439797.06497505,620012.480042726,619,905578,6508,5476 018,2915 ROSALIE AVE,2019/11/20 00:00:00+00,,2021/12/07 00:00:00+00,,NORTH HARFORD ROAD                       ,3,D
