,BLOCKLOT,VAC:PROG,VAC:Neighborhood,VAC:Typology
251,0192035,1,PENROSE/FAYETTE STREET OUTREACH,J
252,4613002,1,CENTRAL PARK HEIGHTS,I
253,2400027,1,COPPIN HEIGHTS/ASH-CO-EAST,I
254,2175076,1,SHIPLEY HILL,J
255,0193086,1,FRANKLIN SQUARE,J
256,0243060,1,CARROLLTON RIDGE,I
257,0115026,1,HARLEM PARK,I
258,0373039,1,UPTON,Subsidized Rental Market
259,0373041,1,UPTON,Subsidized Rental Market
260,2445031,1,FRANKLINTOWN ROAD,I
261,4137051,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
262,0719B028,1,CARROLLTON RIDGE,J
263,0154005,1,POPPLETON,I
264,2442C001,1,ROSEMONT,I
265,0224021,1,BOYD-BOOTH,J
266,0095010,1,MIDTOWN-EDMONDSON,J
267,2170B050,1,SHIPLEY HILL,J
268,2425001A,1,NORTHWEST COMMUNITY ACTION,G
269,4595A009,1,LANGSTON HUGHES,I
270,1446081,1,BROADWAY EAST,I
271,0265080,1,NEW SOUTHWEST/MOUNT CLARE,I
272,0261019,1,NEW SOUTHWEST/MOUNT CLARE,I
273,3408015,1,PENN NORTH,I
274,4626A088B,1,CENTRAL PARK HEIGHTS,I
275,4137055,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
276,0096023,1,HARLEM PARK,J
277,0002013,1,EASTERWOOD,I
278,4120019,1,COLDSTREAM HOMESTEAD MONTEBELLO,J
279,4544B014,1,ARLINGTON,I
280,1500019,1,BROADWAY EAST,J
281,0050053,1,SANDTOWN-WINCHESTER,J
282,2528D029,1,EDMONDSON VILLAGE,F
283,1459066,1,BROADWAY EAST,I
284,1138045,1,OLIVER,I
285,0114049,1,HARLEM PARK,I
286,1277026,1,OLDTOWN,Subsidized Rental Market
287,2446A003,1,FRANKLINTOWN ROAD,I
288,0698100,1,CARROLLTON RIDGE,J
289,0697049,1,CARROLLTON RIDGE,J
290,4586018,1,CENTRAL PARK HEIGHTS,I
291,7437014,1,WESTPORT,H
292,1162058,1,OLIVER,H
293,2452010I,1,ROSEMONT,I
294,4536A108,1,PIMLICO GOOD NEIGHBORS,H
295,4605A048A,1,CENTRAL PARK HEIGHTS,I
296,0095095,1,MIDTOWN-EDMONDSON,J
297,3228C016,1,PARKVIEW/WOODBROOK,I
298,0699027,1,CARROLLTON RIDGE,J
299,2206B042,1,ROSEMONT HOMEOWNERS/TENANTS,I
300,0121060,1,HARLEM PARK,J
301,1626033,1,MADISON-EASTEND,I
302,2394029,1,MOSHER,I
303,0089021,1,HARLEM PARK,I
304,0265008,1,NEW SOUTHWEST/MOUNT CLARE,I
305,0265009,1,NEW SOUTHWEST/MOUNT CLARE,I
306,0294039,1,PENN NORTH,J
307,1628074,1,MADISON-EASTEND,I
308,0059059,1,SANDTOWN-WINCHESTER,J
309,3212047,1,MONDAWMIN,I
310,2805A006,1,MOUNT HOLLY,F
311,0001007,1,EASTERWOOD,I
312,0393053,1,UPTON,G
313,1485006,1,BROADWAY EAST,J
314,0339029,1,UPTON,H
315,0265085,1,NEW SOUTHWEST/MOUNT CLARE,I
316,0263030,1,NEW SOUTHWEST/MOUNT CLARE,I
317,0050057,1,SANDTOWN-WINCHESTER,J
318,0205003,1,BOYD-BOOTH,J
319,0214006,1,FRANKLIN SQUARE,E
320,0204004,1,BOYD-BOOTH,J
321,0190085,1,PENROSE/FAYETTE STREET OUTREACH,J
322,0708085,1,NEW SOUTHWEST/MOUNT CLARE,I
323,4012009,1,EAST BALTIMORE MIDWAY,J
324,3417077,1,PENN NORTH,I
325,4581033,1,CENTRAL PARK HEIGHTS,I
326,0243067,1,CARROLLTON RIDGE,I
327,1222033,1,OLDTOWN,G
328,4580035,1,CENTRAL PARK HEIGHTS,I
329,2470048,1,FRANKLINTOWN ROAD,I
330,1468027,1,BROADWAY EAST,I
331,2475D041,1,FRANKLINTOWN ROAD,I
332,3416018,1,PENN NORTH,I
333,3973C078,1,PEN LUCY,H
334,0262035,1,NEW SOUTHWEST/MOUNT CLARE,I
335,3408017,1,PENN NORTH,I
336,3234015,1,PARKVIEW/WOODBROOK,H
337,3408007,1,PENN NORTH,I
338,2403031,1,COPPIN HEIGHTS/ASH-CO-EAST,I
339,0115046,1,HARLEM PARK,I
340,2475C004,1,FRANKLINTOWN ROAD,I
341,0265082,1,NEW SOUTHWEST/MOUNT CLARE,I
342,0265083,1,NEW SOUTHWEST/MOUNT CLARE,I
343,4011B005,1,EAST BALTIMORE MIDWAY,J
344,3311014,1,CENTRAL PARK HEIGHTS,J
345,3416046,1,PENN NORTH,I
346,1155079,1,JOHNSTON SQUARE,H
347,0244068,1,UNION SQUARE,E
348,0411003,1,UPTON,G
349,0128064,1,HARLEM PARK,I
350,1108074,1,OLIVER,I
351,2325002,1,EASTERWOOD,I
352,0192051,1,PENROSE/FAYETTE STREET OUTREACH,J
353,0090035,1,HARLEM PARK,I
354,0017046,1,SANDTOWN-WINCHESTER,I
355,1473085,1,BROADWAY EAST,J
356,1473089,1,BROADWAY EAST,J
357,0289013,1,CARROLLTON RIDGE,J
358,0708080,1,NEW SOUTHWEST/MOUNT CLARE,I
359,4114B039,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
360,0309014,1,DRUID HEIGHTS,G
361,0222048,1,BOYD-BOOTH,J
362,0222047,1,BOYD-BOOTH,J
