NoticeNum,DateNotice,Shape,BLOCKLOT,NEIGHBOR,Council_District,Typology2017,OBJECTID,ESRI_OID,x,y
97305A,"November 8, 2005",,3304 019,CENTRAL PARK HEIGHTS                     ,-536914200,I,829995,6598,1406959.069955632,609520.3825886399
97296A,"November 8, 2005",,3304 022,CENTRAL PARK HEIGHTS                     ,-536913576,I,829998,8169,1406995.8707350492,609542.7739480585
972176A,"May 24, 2013",,3347D038,GREENSPRING                              ,-536913912,I,831569,8261,1408029.8043627143,608715.4301303029
972025A,"May 24, 2013",,1537 011,BROADWAY EAST                            ,-536913336,J,771240,5753,1430283.7411539704,596910.6371388882
97189A,"November 8, 2005",,0699 058,CARROLLTON RIDGE                         ,-536913000,J,749740,1656,1412157.2632993907,588819.2816024721
971852A,"May 24, 2013",,0711 043,CARROLLTON RIDGE                         ,-536914152,I,750296,8688,1412462.9168875515,588348.9954695553
971332A,"May 24, 2013",,0003 031,SANDTOWN-WINCHESTER                      ,-536915208,I,723354,1899,1412078.8225113899,598530.5328492224
97094A,"November 8, 2005",,0720 037,CARROLLTON RIDGE                         ,-536914920,I,750579,6690,1412722.248061806,588074.1397200674
970886A,"June 5, 2013",,4605A048C,CENTRAL PARK HEIGHTS                     ,-536913432,I,877401,5970,1404271.5057769716,611907.0172510594
970814A,"May 24, 2013",,2243B011A,SAINT JOSEPHS                            ,-536913384,I,802676,8716,1404182.78252922,589116.4653913081
970784A,"May 24, 2013",,0281 033,NEW SOUTHWEST/MOUNT CLARE                ,-536915688,I,738312,939,1414510.4711913913,589098.3010575622
970678A,"May 24, 2013",,3190 045,TOWANDA-GRANTLEY                         ,-536912952,J,826662,1016,1405832.3520647138,609059.9356748909
970042A,"May 20, 2013",,0050 068,SANDTOWN-WINCHESTER                      ,-536914728,J,725859,8288,1412106.4933878034,595642.4375755638
96993A,"November 4, 2005",,0242 111,CARROLLTON RIDGE                         ,-536914680,J,735670,2607,1412150.555635631,589853.5223161429
96991A,"November 4, 2005",,0258 029,CARROLLTON RIDGE                         ,-536913864,J,736570,8129,1411511.2947750539,589344.4606702328
969686A,"May 17, 2013",,3193 021,LUCILLE PARK                             ,-536914536,J,826745,1389,1405491.4200038016,609355.9806864709
96945A,"November 4, 2005",,0241 004,CARROLLTON RIDGE                         ,-536914440,J,735537,1808,1411720.8793296367,589903.9139476418
969346A,"May 19, 2013",,0265 015,NEW SOUTHWEST/MOUNT CLARE                ,-536914104,I,737067,9127,1414559.6118411422,589714.5714785606
96916A,"November 4, 2005",,0274 059,CARROLLTON RIDGE                         ,-536909736,J,737729,7739,1412019.995529309,589214.9996430576
969137A,"May 17, 2013",,2406 037,NORTHWEST COMMUNITY ACTION               ,-536909592,I,809351,9703,1406996.3914033026,598094.6291934699
969083A,"May 24, 2013",,1464 049,BROADWAY EAST                            ,-536911320,J,767658,5205,1430171.6153939664,598966.6254809797
968664A,"May 17, 2013",,0124 009,HARLEM PARK                              ,-536912088,I,730096,313,1414173.9108408839,593066.580522567
